ladefense,Building,longitude,latitude,Location,Surface area(m²),Offices(m²),Shops(m²),height,function,Delivery,zone,node
,Triangle de l'Arche,48.89445,2.23636,Cours du Triangle - 92400 Courbevoie,45000,,,41,Office,2001,Cours du Triangle,arche nord
,Palatin I,48.894317,2.235392,"30,Rue de Valmy - 92800 Puteaux",8000,,,49,Office,2004,Rue de Valmy,arche nord
,Palatin II,48.89476,2.23504,"30,Rue de Valmy - 92800 Puteaux",18900,,,49,Office,2004,Rue de Valmy,arche nord
,Palatin III,48.89498,2.23552,"30,Rue de Valmy - 92800 Puteaux",5250,,,49,Office,2004,Rue de Valmy,arche nord
,Vinci,48.895596,2.235868,Allée de l'Arche - 92400 Courbevoie,9990,,,31,Office,1998,Allée de l'Arche,arche nord
,Adria,48.895179,2.236099,"6-8,allée de l'Arche - 92 400 Courbevoie",54000,,,155,Office,2002,allée de l'Arche,arche nord
,Colisée Gardens,48.89587,2.238239,Avenue de l'Arche - 92400 Courbevoie,27527,,,35,Office,1998,Avenue de l'Arche,arche nord
,Pullman,48.894949,2.238641,"11,Avenue de l'Arche - 92400 Courbevoie",,,,35,Hotel,1998,Avenue de l'Arche,arche nord
,Apollonia,48.896294,2.237357,"20,Avenue Léonard de Vinci - 92400 Courbevoie, 法国",,,,35,Residence,1998,Avenue Léonard de Vinci,arche nord
,Pyramidion,48.896613,2.238377,Avenue Léonard de Vinci - 92400,9400,,,33,Residence,2011,Avenue Léonard de Vinci,arche nord
,Adamas,48.89717,2.23951,Rue Alexis Séon - 92400 Courbevoie,9400,,,33,Residence,2007,Rue Alexis Séon,arche nord
,Engie,48.896211,2.239571,Place Samuel-Champlain - 92400,70000,,,185,Office,2008,Place Samuel,arche nord
,Séquoia,48.89402,2.23984,"4,Place des Saisons - 92400 Courbevoie",8300,,,69,Office,1993,Place des Saisons,arche nord
,Dauphins,48.89453,2.24261,"3-6,Square Henri Regnault - 92400 Courbevoie",,,,41,Residence,1974,Square Henri Regnault,arche nord
,Gambetta,48.894085,2.24286,"1-2,Square Henri Regnault - 92400 Courbevoie",,,,104,Residence,1975,Square Henri Regnault,arche nord
,Leclerc,48.89418,2.24163,"12,Square Henri Regnault - 92400 Courbevoie",,,,41,Residence,1974,Square Henri Regnault,arche nord
,Total Coupole,48.89268,2.24311,"2,Place de la Coupole - Jean-Miller - 92400 Courbevoie",103000,,,179,Office,1985,Place de la Coupole,arche nord
,Areva,48.892339,2.241474,"1,place de la Coupole - Jean-Millier - 92400 Courbevoie",102500,,,178,Office,1974,place de la Coupole,arche nord
,CB3,48.892194,2.241448,"170,Place Henri Regnault - 92400 Courbevoie",30000,,,37,Office,1978,Place Henri-Regnault,arche nord
,Exaltis - Mazars,48.891772,2.243222,"61,Rue Henri Regnault - 92400 Courbevoie",23000,,,70,Office,2006,Rue Henri Regnault,arche nord
,Ampère e+,48.893919,2.244076,"34-40,rue Henri Regnault - 92400 Courbevoie",14200,,,35,Office,2014,rue Henri Regnault,arche nord
,City Défense,48.893316,2.243784,"20,rue Henri Regnault - 92400 Courbevoie",14200,,,35,Office,2014,rue Henri Regnault,arche nord
,Ellipse,48.89308,2.2454,"41,Avenue Gambetta - 92400 Courbevoie",6000,,,36,Office,1974,Avenue Gambetta,arche nord
,Guynemer,48.895246,2.2432,"24, Rue Ségoffin - 92400 Courbevoie",12800,,,46,Office,2002,Rue Ségoffin,arche nord
,Berkeley Building,48.895388,2.242064,"19-29,Rue du Capitaine Guynemer - 92400 Courbevoie",19100,,,40,Office,1976,Rue du Capitaine Guynemer,arche nord
,Lotus,48.89585,2.24328,"35-41,Rue du Capitaine Guynemer - 92400 Courbevoie",6800,,,44,Shop,1981,Rue du Capitaine Guynemer,arche nord
